Timestamp,battery_voltage (V),signal.rssi (dBm),signal.snr (dB),signal.spreadingfactor (Factor),uncorrected_inner (cm/hr),uncorrected_outer (cm/hr)
2026-04-01 02:03:55,4.08,-67.0,8.2,10.0,-2.522,0.245
2026-04-01 02:23:53,4.08,-65.0,13.2,10.0,-2.605,0.277
2026-04-01 02:43:46,4.08,-65.0,12.2,10.0,-2.545,0.241
2026-04-01 03:03:50,4.07,-66.0,12.5,10.0,-2.588,0.245
2026-04-01 03:23:46,4.07,-66.0,9.0,10.0,-2.615,0.223
2026-04-01 03:43:48,4.07,-68.0,13.0,10.0,-2.591,0.206
2026-04-01 04:03:48,4.06,-68.0,12.2,10.0,-2.575,0.182
2026-04-01 04:23:54,4.06,-68.0,13.2,10.0,-2.56,0.221
2026-04-01 04:43:47,4.06,-70.0,13.0,10.0,-2.573,0.233
2026-04-01 05:03:47,4.06,-69.0,12.2,10.0,-2.607,0.139
2026-04-01 05:23:46,4.05,-69.0,12.8,10.0,-2.64,0.193
2026-04-01 05:43:56,4.05,-67.0,13.0,10.0,-2.599,0.23
2026-04-01 06:03:50,4.05,-69.0,9.0,10.0,-2.624,0.211
2026-04-01 06:23:55,4.04,-71.0,13.2,10.0,-2.572,0.177
2026-04-01 06:43:46,4.04,-72.0,12.5,10.0,-2.606,0.102
2026-04-01 07:03:50,4.04,-71.0,13.0,10.0,-2.634,0.201
2026-04-01 07:23:53,4.03,-72.0,12.2,10.0,-2.589,0.224
2026-04-01 07:43:55,4.04,-72.0,12.8,10.0,-2.583,0.195
2026-04-01 08:03:52,4.04,-73.0,8.2,10.0,-2.556,0.19
2026-04-01 08:23:50,4.05,-70.0,13.5,10.0,-2.619,0.132
2026-04-01 08:43:55,4.07,-72.0,12.5,10.0,-2.598,0.204
2026-04-01 09:03:49,4.08,-73.0,11.2,10.0,-2.632,0.145
2026-04-01 09:23:54,4.09,-72.0,12.8,10.0,-2.632,0.189
2026-04-01 09:43:52,4.11,-73.0,13.0,10.0,-2.666,0.17
2026-04-01 10:03:47,4.14,-71.0,12.8,10.0,-2.718,0.104
2026-04-01 10:23:50,4.15,-71.0,12.5,10.0,-2.587,0.166
2026-04-01 10:43:54,4.16,-71.0,12.5,10.0,-2.635,0.094
2026-04-01 11:03:55,4.17,-72.0,12.5,10.0,-2.624,0.14
2026-04-01 11:23:55,4.13,-70.0,12.8,10.0,-2.617,0.198
2026-04-01 11:43:52,4.19,-72.0,8.8,10.0,-2.66,0.239
2026-04-01 12:03:53,4.14,-70.0,13.0,10.0,-2.619,0.232
2026-04-01 12:23:50,4.15,-71.0,12.0,10.0,-2.615,0.154
2026-04-01 12:43:52,4.15,-70.0,12.8,10.0,-2.61,0.133
2026-04-01 13:03:46,4.15,-72.0,12.2,10.0,-2.65,0.116
