Timestamp,battery_voltage (V),signal.rssi (dBm),signal.snr (dB),signal.spreadingfactor (Factor),uncorrected_inner (cm/hr),uncorrected_outer (cm/hr)
2026-04-10 18:49:28,4.0,-97.0,7.8,10.0,0.194,-0.361
2026-04-10 19:04:34,3.99,-97.0,2.8,10.0,0.156,-0.326
2026-04-10 19:19:24,3.98,-97.0,5.2,10.0,0.121,-0.389
2026-04-10 19:34:32,3.98,-101.0,5.8,10.0,0.088,-0.472
2026-04-10 19:49:27,3.97,-96.0,4.8,10.0,0.134,-0.422
2026-04-10 20:04:24,3.97,-101.0,-0.8,10.0,0.074,-0.352
2026-04-10 20:19:29,3.97,-97.0,6.2,10.0,0.055,-0.348
2026-04-10 20:34:27,3.96,-102.0,2.0,10.0,0.04,-0.368
2026-04-10 20:49:28,3.96,-96.0,6.8,10.0,0.069,-0.399
2026-04-10 21:04:32,3.95,-100.0,4.2,10.0,0.118,-0.455
2026-04-10 21:19:25,3.95,-98.0,-4.0,10.0,-0.035,-0.45
2026-04-10 21:34:32,3.95,-98.0,5.8,10.0,0.03,-0.399
2026-04-10 21:49:31,3.94,-97.0,7.0,10.0,-0.042,-0.39
2026-04-10 22:04:33,3.94,-102.0,1.2,10.0,-0.034,-0.456
2026-04-10 22:19:31,3.94,-99.0,4.2,10.0,0.0,-0.431
2026-04-10 22:34:34,3.93,-96.0,5.0,10.0,0.071,-0.39
2026-04-10 22:49:26,3.93,-97.0,6.2,10.0,-0.022,-0.566
2026-04-10 23:04:30,3.93,-101.0,2.8,10.0,-0.006,-0.536
2026-04-10 23:19:34,3.92,-97.0,3.5,10.0,0.033,-0.512
2026-04-10 23:34:30,3.92,-99.0,3.5,10.0,0.139,-0.479
2026-04-10 23:49:29,3.92,-94.0,5.8,10.0,-0.027,-0.481
2026-04-11 00:04:26,3.92,-101.0,1.8,10.0,0.008,-0.483
2026-04-11 00:19:24,3.91,-96.0,7.2,10.0,-0.09,-0.505
2026-04-11 00:34:31,3.91,-97.0,7.2,10.0,-0.082,-0.472
2026-04-11 01:04:30,3.9,-98.0,5.2,10.0,0.049,-0.461
