Timestamp,battery_voltage (V),signal.rssi (dBm),signal.snr (dB),signal.spreadingfactor (Factor),uncorrected_inner (cm/hr),uncorrected_outer (cm/hr)
2026-04-01 01:49:03,3.95,-88.0,10.2,10.0,0.912,0.978
2026-04-01 02:04:01,3.95,-86.0,1.5,10.0,0.946,0.93
2026-04-01 02:19:03,3.94,-92.0,9.5,10.0,0.948,0.945
2026-04-01 02:34:00,3.94,-92.0,8.0,10.0,0.932,0.999
2026-04-01 02:49:10,3.94,-89.0,9.2,10.0,0.893,0.98
2026-04-01 03:04:01,3.93,-91.0,10.2,10.0,0.944,1.061
2026-04-01 03:19:06,3.93,-91.0,8.8,10.0,1.014,1.113
2026-04-01 03:34:02,3.93,-92.0,8.2,10.0,0.986,1.064
2026-04-01 03:49:03,3.92,-94.0,8.5,10.0,0.964,1.025
2026-04-01 04:04:09,3.92,-92.0,9.0,10.0,0.967,1.017
2026-04-01 04:19:03,3.92,-93.0,9.5,10.0,1.006,0.97
2026-04-01 04:34:08,3.91,-97.0,8.2,10.0,0.845,0.94
2026-04-01 04:49:03,3.91,-96.0,6.2,10.0,0.868,0.884
2026-04-01 05:04:07,3.9,-94.0,6.2,10.0,0.845,0.794
2026-04-01 05:19:06,3.9,-93.0,9.0,10.0,0.804,0.804
2026-04-01 05:34:06,3.9,-93.0,6.8,10.0,0.912,0.905
2026-04-01 05:49:09,3.89,-94.0,10.5,10.0,0.971,0.953
2026-04-01 06:04:09,3.89,-101.0,6.2,10.0,0.958,0.959
2026-04-01 06:19:06,3.88,-95.0,7.8,10.0,0.982,0.998
2026-04-01 06:34:01,3.88,-97.0,8.2,10.0,0.975,1.031
2026-04-01 06:49:01,3.87,-98.0,6.0,10.0,1.107,1.042
2026-04-01 07:04:01,3.87,-99.0,6.8,10.0,0.994,0.901
2026-04-01 07:19:06,3.87,-98.0,7.8,10.0,0.962,0.971
2026-04-01 07:34:09,3.86,-98.0,7.5,10.0,0.878,0.962
2026-04-01 07:49:05,3.86,-99.0,7.8,10.0,0.908,0.898
2026-04-01 08:04:10,3.86,-99.0,7.2,10.0,0.945,0.941
2026-04-01 08:19:08,3.86,-98.0,8.2,10.0,0.931,0.95
2026-04-01 08:34:05,3.87,-99.0,7.5,10.0,0.893,0.861
2026-04-01 08:49:04,3.89,-97.0,9.5,10.0,0.844,0.881
2026-04-01 09:04:03,3.9,-100.0,8.8,10.0,0.9,0.893
2026-04-01 09:19:04,3.91,-97.0,9.0,10.0,0.92,1.014
2026-04-01 09:34:04,3.92,-98.0,7.0,10.0,0.949,0.929
2026-04-01 09:48:59,3.94,-101.0,7.0,10.0,0.885,0.893
2026-04-01 10:04:02,3.96,-95.0,9.5,10.0,0.711,0.699
2026-04-01 10:19:05,3.97,-98.0,6.8,10.0,0.74,0.598
2026-04-01 10:34:02,3.98,-97.0,10.0,10.0,0.608,0.467
2026-04-01 10:49:03,3.99,-97.0,9.2,10.0,0.624,0.627
2026-04-01 11:04:01,4.0,-99.0,5.2,10.0,0.754,0.559
2026-04-01 11:19:06,4.01,-97.0,8.8,10.0,0.872,0.921
2026-04-01 11:34:05,4.02,-95.0,9.8,10.0,0.895,1.015
2026-04-01 11:49:07,4.03,-97.0,8.8,10.0,0.986,1.106
2026-04-01 12:04:08,4.05,-97.0,10.0,10.0,0.941,0.884
2026-04-01 12:19:01,4.06,-95.0,9.5,10.0,0.697,0.841
2026-04-01 12:34:05,4.07,-97.0,9.5,10.0,0.771,0.765
2026-04-01 12:49:06,4.09,-96.0,9.5,10.0,0.722,0.672
