Timestamp,battery_voltage (V),signal.rssi (dBm),signal.snr (dB),signal.spreadingfactor (Factor),uncorrected_inner (cm/hr),uncorrected_outer (cm/hr)
2026-04-01 01:48:38,4.02,-96.0,7.8,10.0,-1.087,0.773
2026-04-01 02:03:39,4.02,-92.0,8.0,10.0,-1.065,0.746
2026-04-01 02:18:45,4.01,-99.0,7.0,10.0,-1.083,0.653
2026-04-01 02:33:44,4.01,-96.0,7.8,10.0,-1.125,0.722
2026-04-01 02:48:43,4.01,-91.0,9.0,10.0,-1.041,0.665
2026-04-01 03:03:46,4.0,-95.0,8.5,10.0,-1.05,0.765
2026-04-01 03:18:42,4.0,-95.0,8.5,10.0,-1.165,0.727
2026-04-01 03:33:45,4.0,-96.0,8.5,10.0,-1.094,0.691
2026-04-01 03:48:47,3.99,-96.0,7.0,10.0,-1.037,0.807
2026-04-01 04:03:44,3.99,-94.0,8.2,10.0,-1.15,0.732
2026-04-01 04:18:42,3.99,-98.0,8.2,10.0,-1.011,0.696
2026-04-01 04:33:41,3.98,-95.0,8.2,10.0,-1.162,0.578
2026-04-01 04:48:42,3.98,-97.0,7.0,10.0,-1.209,0.645
2026-04-01 05:03:44,3.98,-95.0,7.2,10.0,-1.109,0.737
2026-04-01 05:18:47,3.97,-97.0,9.0,10.0,-1.077,0.647
2026-04-01 05:33:39,,-96.0,8.2,10.0,,
2026-04-01 05:48:46,3.97,-95.0,8.0,10.0,-1.074,0.764
2026-04-01 06:03:46,3.96,-94.0,5.2,10.0,-1.129,0.698
2026-04-01 06:18:40,3.96,-96.0,6.8,10.0,-1.188,0.644
2026-04-01 06:33:44,3.96,-94.0,8.2,10.0,-1.131,0.765
2026-04-01 06:48:41,3.95,-96.0,10.5,10.0,-1.215,0.617
2026-04-01 07:03:44,3.95,-95.0,6.2,10.0,-1.138,0.711
2026-04-01 07:18:39,3.95,-94.0,-0.8,10.0,-1.138,0.697
2026-04-01 07:33:44,3.95,-95.0,8.5,10.0,-1.226,0.696
2026-04-01 07:48:48,3.95,-96.0,5.5,10.0,-1.312,0.692
2026-04-01 08:03:41,3.95,-91.0,8.5,10.0,-1.135,0.614
2026-04-01 08:18:40,3.95,-94.0,9.0,10.0,-1.191,0.606
2026-04-01 08:33:40,3.98,-94.0,7.2,10.0,-1.213,0.638
2026-04-01 08:48:42,3.99,-94.0,8.0,10.0,-1.257,0.752
2026-04-01 09:03:38,4.0,-97.0,7.0,10.0,-1.255,0.58
2026-04-01 09:18:42,4.0,-94.0,9.8,10.0,-1.23,0.581
2026-04-01 09:33:46,4.0,-93.0,9.0,10.0,-1.195,0.601
2026-04-01 09:48:47,4.01,-96.0,7.0,10.0,-1.216,0.682
2026-04-01 10:03:42,4.04,-95.0,8.8,10.0,-1.184,0.56
2026-04-01 10:18:46,4.05,-96.0,6.8,10.0,-1.301,0.534
2026-04-01 10:33:41,4.06,-94.0,8.2,10.0,-1.38,0.61
2026-04-01 10:48:43,4.08,-96.0,6.8,10.0,-1.173,0.674
2026-04-01 11:03:42,4.09,-95.0,8.0,10.0,-1.345,0.638
2026-04-01 11:18:48,4.11,-96.0,4.5,10.0,-1.175,0.589
2026-04-01 11:33:47,4.12,-95.0,8.2,10.0,-1.143,0.697
2026-04-01 11:48:43,4.13,-96.0,7.0,10.0,-1.281,0.658
2026-04-01 12:03:41,4.15,-92.0,9.8,10.0,-1.344,0.611
2026-04-01 12:18:46,4.16,-96.0,3.8,10.0,-1.368,0.517
2026-04-01 12:33:43,4.17,-94.0,9.2,10.0,-1.117,0.738
2026-04-01 12:48:40,4.17,-96.0,6.8,10.0,-1.397,0.544
2026-04-01 13:03:42,4.19,-96.0,7.2,10.0,-1.282,0.537
2026-04-01 13:18:39,4.19,-95.0,9.0,10.0,-1.374,0.589
2026-04-01 13:33:47,4.19,-96.0,8.2,10.0,-1.323,0.444
2026-04-01 13:48:45,4.16,-97.0,8.2,10.0,-1.298,0.662
2026-04-01 14:03:43,4.16,-96.0,8.0,10.0,-1.159,0.64
2026-04-01 14:18:48,4.16,-96.0,6.5,10.0,-1.344,0.431
2026-04-01 14:33:47,4.16,-93.0,9.8,10.0,-1.244,0.698
2026-04-01 14:48:39,4.16,-94.0,9.2,10.0,-1.239,0.554
2026-04-01 15:03:41,4.16,-94.0,9.2,10.0,-1.228,0.563
2026-04-01 15:18:39,4.16,-95.0,9.5,10.0,-1.204,0.629
2026-04-01 15:33:48,4.16,-97.0,6.8,10.0,-1.298,0.574
2026-04-01 15:48:42,4.16,-92.0,9.2,10.0,-1.276,0.708
2026-04-01 16:03:47,4.16,-99.0,6.0,10.0,-1.283,0.635
2026-04-01 16:18:46,4.16,-97.0,6.0,10.0,-1.196,0.537
2026-04-01 16:33:44,4.16,-98.0,7.5,10.0,-1.273,0.55
2026-04-01 16:48:38,4.16,-96.0,7.2,10.0,-1.296,0.635
2026-04-01 17:03:39,4.16,-96.0,7.5,10.0,-1.189,0.596
2026-04-01 17:18:39,4.15,-94.0,9.8,10.0,-1.154,0.615
2026-04-01 17:33:41,4.15,-93.0,6.5,10.0,-1.296,0.59
2026-04-01 17:48:44,4.16,-97.0,7.2,10.0,-1.192,0.614
2026-04-01 18:03:46,4.15,-96.0,7.8,10.0,-1.189,0.773
2026-04-01 18:18:38,4.15,-96.0,9.8,10.0,-1.255,0.666
2026-04-01 18:33:44,4.15,-99.0,7.0,10.0,-1.113,0.665
2026-04-01 18:48:43,4.14,-94.0,8.8,10.0,-1.146,0.649
2026-04-01 19:18:47,4.14,-95.0,4.8,10.0,-1.365,0.609
2026-04-01 19:33:42,4.13,-97.0,7.2,10.0,-1.131,0.741
2026-04-01 19:48:47,4.13,-94.0,8.5,10.0,-1.323,0.61
2026-04-01 20:03:44,4.13,-100.0,6.8,10.0,-1.247,0.655
2026-04-01 20:18:41,4.13,-97.0,6.8,10.0,-1.213,0.636
2026-04-01 20:33:47,4.13,-97.0,8.2,10.0,-1.196,0.599
2026-04-01 20:48:45,4.13,-97.0,8.2,10.0,-1.194,0.706
2026-04-01 21:03:38,4.12,-98.0,7.8,10.0,-1.281,0.53
2026-04-01 21:18:44,4.12,-96.0,8.0,10.0,-1.276,0.585
2026-04-01 21:33:46,4.12,-97.0,8.0,10.0,-1.207,0.523
2026-04-01 21:48:41,4.12,-96.0,8.8,10.0,-1.311,0.607
2026-04-01 22:03:42,4.12,-96.0,7.0,10.0,-1.245,0.643
2026-04-01 22:18:44,4.12,-99.0,9.2,10.0,-1.273,0.614
2026-04-01 22:33:47,4.12,-97.0,8.2,10.0,-1.19,0.648
2026-04-01 22:48:42,4.11,-97.0,7.2,10.0,-1.314,0.55
2026-04-01 23:03:41,4.11,-97.0,8.0,10.0,-1.31,0.631
2026-04-01 23:18:42,4.11,-96.0,9.0,10.0,-1.318,0.659
2026-04-01 23:33:40,4.11,-97.0,7.8,10.0,-1.281,0.707
2026-04-01 23:48:47,4.11,-97.0,8.2,10.0,-1.255,0.665
2026-04-02 00:03:38,4.1,-97.0,4.5,10.0,-1.201,0.689
2026-04-02 00:18:43,4.1,-97.0,6.8,10.0,-1.271,0.667
2026-04-02 00:33:45,4.1,-95.0,7.5,10.0,-1.203,0.589
2026-04-02 00:48:46,4.1,-98.0,6.2,10.0,-1.188,0.683
2026-04-02 01:03:43,4.09,-96.0,9.0,10.0,-1.176,0.574
2026-04-02 01:18:40,4.09,-95.0,9.2,10.0,-1.224,0.594
2026-04-02 01:33:48,4.09,-95.0,8.2,10.0,-1.297,0.585
2026-04-02 01:48:38,4.08,-96.0,7.5,10.0,-1.175,0.706
2026-04-02 02:03:45,4.08,-92.0,8.5,10.0,-1.19,0.683
2026-04-02 02:18:42,4.08,-95.0,9.2,10.0,-1.215,0.614
2026-04-02 02:33:43,4.08,-96.0,8.0,10.0,-1.217,0.654
2026-04-02 02:48:42,4.07,-94.0,10.0,10.0,-1.284,0.596
2026-04-02 03:03:39,4.07,-95.0,8.0,10.0,-1.243,0.544
2026-04-02 03:18:43,4.07,-95.0,8.2,10.0,-1.271,0.61
2026-04-02 03:33:37,4.06,-96.0,8.5,10.0,-1.291,0.622
2026-04-02 03:48:38,4.06,-95.0,7.0,10.0,-1.272,0.581
2026-04-02 04:03:40,4.05,-91.0,7.8,10.0,-1.258,0.633
2026-04-02 04:18:38,4.05,-94.0,8.8,10.0,-1.316,0.693
2026-04-02 04:33:44,4.05,-95.0,9.0,10.0,-1.24,0.605
2026-04-02 04:48:46,4.04,-96.0,6.8,10.0,-1.204,0.645
2026-04-02 05:03:39,4.04,-95.0,8.5,10.0,-1.286,0.594
2026-04-02 05:18:43,4.04,-93.0,9.0,10.0,-1.293,0.62
2026-04-02 05:33:44,4.03,-94.0,9.0,10.0,-1.151,0.527
2026-04-02 05:48:41,,-94.0,8.0,10.0,,
2026-04-02 06:03:40,4.03,-92.0,7.0,10.0,-1.178,0.608
2026-04-02 06:18:41,4.02,-93.0,7.5,10.0,-1.337,0.622
2026-04-02 06:33:41,4.02,-95.0,8.5,10.0,-1.299,0.654
2026-04-02 06:48:44,4.01,-94.0,9.5,10.0,-1.329,0.595
2026-04-02 07:03:42,4.01,-94.0,8.2,10.0,-1.217,0.501
2026-04-02 07:18:39,4.01,-94.0,9.0,10.0,-1.182,0.511
2026-04-02 07:33:40,4.01,-94.0,8.2,10.0,-1.188,0.671
2026-04-02 07:48:41,4.0,-93.0,7.0,10.0,-1.366,0.531
2026-04-02 08:03:45,4.0,-94.0,8.0,10.0,-1.302,0.573
2026-04-02 08:18:40,4.0,-94.0,9.5,10.0,-1.355,0.605
2026-04-02 08:33:39,4.0,-95.0,9.2,10.0,-1.277,0.525
2026-04-02 08:48:45,4.0,-94.0,9.5,10.0,-1.343,0.555
2026-04-02 09:03:42,3.99,-94.0,8.8,10.0,-1.435,0.571
2026-04-02 09:18:40,4.0,-93.0,7.8,10.0,-1.309,0.58
2026-04-02 09:33:41,4.0,-94.0,9.0,10.0,-1.377,0.537
2026-04-02 09:48:39,4.01,-94.0,8.0,10.0,-1.349,0.505
2026-04-02 10:03:40,4.02,-94.0,10.0,10.0,-1.434,0.511
2026-04-02 10:18:47,4.05,-93.0,7.5,10.0,-1.369,0.581
2026-04-02 10:33:38,4.04,-92.0,6.2,10.0,-1.367,0.555
2026-04-02 10:48:43,4.07,-94.0,9.8,10.0,-1.41,0.404
2026-04-02 11:03:43,4.08,-94.0,8.0,10.0,-1.527,0.414
2026-04-02 11:18:41,4.09,-93.0,8.8,10.0,-1.435,0.425
2026-04-02 11:33:45,4.1,-94.0,9.8,10.0,-1.443,0.481
2026-04-02 11:48:40,4.11,-94.0,8.2,10.0,-1.425,0.534
2026-04-02 12:03:38,4.13,-93.0,8.2,10.0,-1.63,0.518
2026-04-02 12:18:40,4.14,-93.0,7.8,10.0,-1.772,0.257
2026-04-02 12:33:40,4.15,-93.0,9.8,10.0,-1.677,0.383
2026-04-02 12:48:41,4.16,-94.0,9.5,10.0,-1.738,0.228
2026-04-02 13:03:48,4.17,-93.0,9.0,10.0,-1.778,0.301
2026-04-02 16:48:48,4.14,-91.0,9.5,10.0,-1.241,0.609
2026-04-02 17:03:42,,-97.0,6.8,10.0,,
2026-04-02 17:18:49,,-95.0,8.8,10.0,,
2026-04-02 17:33:39,,-89.0,10.2,10.0,,
2026-04-02 17:48:45,4.14,-99.0,5.5,10.0,-1.384,0.472
2026-04-02 18:03:47,4.15,-92.0,8.0,10.0,-1.35,0.582
2026-04-02 18:18:45,4.15,-99.0,4.0,10.0,-1.408,0.432
2026-04-02 18:33:43,4.15,-90.0,10.8,10.0,-1.325,0.482
2026-04-02 18:48:47,4.14,-92.0,8.0,10.0,-1.274,0.481
2026-04-02 19:03:48,4.13,-93.0,8.2,10.0,-1.284,0.586
2026-04-02 19:18:39,4.13,-91.0,9.2,10.0,-1.163,0.6
2026-04-02 19:33:39,4.13,-93.0,8.5,10.0,-1.153,0.527
2026-04-02 19:48:46,4.13,-95.0,6.8,10.0,-1.126,0.638
2026-04-02 20:03:44,4.13,-91.0,5.2,10.0,-1.187,0.641
2026-04-02 20:18:48,4.12,-91.0,7.8,10.0,-1.095,0.606
2026-04-02 20:33:47,4.12,-90.0,8.0,10.0,-0.264,1.252
2026-04-02 20:48:44,4.12,-94.0,8.0,10.0,-0.592,0.984
2026-04-02 21:03:48,4.12,-91.0,6.8,10.0,-0.601,0.931
2026-04-02 21:18:44,4.12,-95.0,8.8,10.0,-0.503,0.885
2026-04-02 21:33:46,4.12,-94.0,7.2,10.0,-0.896,0.587
2026-04-02 21:48:41,4.11,-92.0,10.0,10.0,-1.001,0.643
2026-04-02 22:03:40,4.11,-93.0,7.2,10.0,-0.659,0.862
2026-04-02 22:18:44,4.11,-93.0,9.8,10.0,-0.672,0.77
2026-04-02 22:33:44,4.11,-95.0,8.8,10.0,-0.852,0.495
2026-04-02 22:48:43,4.1,-90.0,9.5,10.0,-0.998,0.594
