Timestamp,battery_voltage (V),signal.rssi (dBm),signal.snr (dB),signal.spreadingfactor (Factor),uncorrected_inner (cm/hr),uncorrected_outer (cm/hr)
2026-04-01 01:47:48,4.06,-107.0,-8.8,10.0,4.222,2.194
2026-04-01 02:02:55,4.06,-105.0,-4.0,10.0,4.423,2.135
2026-04-01 02:17:49,4.06,-106.0,-0.5,10.0,4.34,2.019
2026-04-01 02:32:55,4.06,-111.0,-10.2,10.0,4.229,2.009
2026-04-01 02:47:54,4.06,-105.0,-4.8,10.0,4.235,2.08
2026-04-01 03:02:50,4.06,-105.0,-6.8,10.0,4.178,2.137
2026-04-01 03:17:51,4.06,-109.0,-3.8,10.0,4.283,2.088
2026-04-01 03:32:52,4.06,-109.0,-1.8,10.0,4.203,2.114
2026-04-01 04:02:57,4.06,-108.0,-5.2,10.0,4.328,2.117
2026-04-01 04:17:56,4.06,-109.0,-5.5,10.0,4.245,2.131
2026-04-01 04:32:49,4.06,-108.0,-5.2,10.0,4.205,2.07
2026-04-01 04:47:53,4.05,-106.0,-10.2,10.0,4.221,2.011
2026-04-01 05:02:51,4.05,-107.0,-5.2,10.0,4.293,2.06
2026-04-01 05:17:49,4.05,-107.0,-4.0,10.0,4.089,2.128
2026-04-01 05:32:48,4.05,-106.0,-1.8,10.0,4.056,2.076
2026-04-01 05:47:56,4.05,-111.0,-4.0,10.0,4.242,2.088
2026-04-01 06:02:55,4.05,-108.0,-7.0,10.0,4.256,2.03
2026-04-01 06:32:54,4.05,-106.0,-0.2,10.0,4.249,2.074
2026-04-01 06:47:50,,-107.0,-2.2,10.0,,
2026-04-01 07:02:51,,-109.0,-13.2,10.0,,
2026-04-01 07:17:48,4.05,-110.0,-5.2,10.0,4.316,2.199
2026-04-01 07:32:51,4.05,-106.0,-8.8,10.0,4.207,2.094
2026-04-01 07:47:54,4.06,-109.0,-9.0,10.0,4.089,2.114
2026-04-01 08:02:48,4.08,-106.0,-2.0,10.0,4.077,2.002
2026-04-01 08:17:54,4.09,-105.0,-6.5,10.0,4.009,1.958
2026-04-01 08:32:50,4.1,-107.0,-4.8,10.0,4.137,1.96
2026-04-01 09:02:56,4.13,-108.0,-5.5,10.0,4.12,2.036
