Timestamp,battery_voltage (V),signal.rssi (dBm),signal.snr (dB),signal.spreadingfactor (Factor),uncorrected_inner (cm/hr),uncorrected_outer (cm/hr)
2026-04-01 02:04:00,4.05,-102.0,-2.5,10.0,-2.091,-1.559
2026-04-01 02:24:03,4.05,-95.0,3.5,10.0,-2.069,-1.489
2026-04-01 02:44:07,4.04,-90.0,7.2,10.0,-2.025,-1.495
2026-04-01 03:04:04,4.04,-98.0,-3.8,10.0,-2.074,-1.555
2026-04-01 03:23:58,4.04,-96.0,-12.8,10.0,-2.036,-1.352
2026-04-01 03:44:05,4.03,-96.0,-10.2,10.0,-2.013,-1.52
2026-04-01 04:04:00,4.03,-93.0,6.8,10.0,-2.171,-1.513
2026-04-01 04:23:59,4.03,-94.0,-8.8,10.0,-2.195,-1.498
2026-04-01 04:44:00,4.02,-98.0,3.0,10.0,-2.274,-1.454
2026-04-01 05:04:02,4.02,-90.0,-3.2,10.0,-2.091,-1.598
2026-04-01 05:24:01,4.01,-95.0,-10.5,10.0,-2.139,-1.493
2026-04-01 05:44:00,4.01,-96.0,4.0,10.0,-2.19,-1.463
2026-04-01 06:04:04,4.01,-93.0,4.5,10.0,-2.274,-1.611
2026-04-01 06:24:04,4.0,-99.0,-12.0,10.0,-2.215,-1.61
2026-04-01 06:44:04,4.0,-94.0,-6.8,10.0,-2.184,-1.563
2026-04-01 07:04:01,3.99,-94.0,-9.5,10.0,-2.206,-1.585
2026-04-01 07:24:03,3.99,-94.0,-6.0,10.0,-2.208,-1.634
2026-04-01 08:23:57,4.01,-95.0,-13.8,10.0,-2.405,-1.516
2026-04-01 08:44:00,4.04,-95.0,-8.8,10.0,-2.42,-1.677
2026-04-01 09:04:05,4.04,-95.0,-9.5,10.0,-2.411,-1.746
2026-04-01 09:24:06,4.05,-95.0,-8.2,10.0,-2.275,-1.683
2026-04-01 09:44:00,4.07,-94.0,-3.5,10.0,-2.386,-1.749
2026-04-01 10:23:56,4.11,-95.0,-11.5,10.0,-2.392,-1.715
2026-04-01 10:43:59,4.12,-94.0,-2.5,10.0,-2.442,-1.743
2026-04-01 11:04:05,4.14,-95.0,-11.8,10.0,-2.493,-1.792
2026-04-01 11:24:01,4.15,-92.0,6.2,10.0,-2.503,-1.74
2026-04-01 12:03:56,4.17,-94.0,-6.2,10.0,-2.519,-1.725
2026-04-01 12:23:56,,-94.0,-7.8,10.0,,
2026-04-01 12:44:02,4.19,-97.0,1.5,10.0,-2.842,-1.923
2026-04-01 13:03:58,,-94.0,6.2,10.0,,
2026-04-01 13:23:59,4.19,-95.0,-18.0,10.0,-2.652,-1.827
2026-04-01 13:43:58,4.19,-95.0,-6.8,10.0,-2.817,-1.967
2026-04-01 14:04:03,4.19,-94.0,5.2,10.0,-2.429,-1.83
2026-04-01 14:44:05,4.17,-95.0,-5.2,10.0,-2.62,-1.803
2026-04-01 15:04:04,4.19,-98.0,0.5,10.0,-2.989,-2.013
2026-04-01 15:23:57,4.19,-95.0,-8.2,10.0,-2.499,-1.803
2026-04-01 16:03:58,4.19,-94.0,-8.5,10.0,-2.423,-1.83
2026-04-01 16:24:05,4.19,-95.0,-9.2,10.0,-2.373,-1.651
2026-04-01 17:04:03,4.19,-96.0,-12.0,10.0,-2.469,-1.806
2026-04-01 17:24:09,4.17,-95.0,-12.0,10.0,-2.378,-1.711
2026-04-01 17:44:05,4.16,-95.0,-10.0,10.0,-2.499,-1.745
2026-04-01 18:04:01,4.19,-94.0,5.2,10.0,-2.381,-1.683
2026-04-01 18:24:01,4.16,-94.0,-1.8,10.0,-2.329,-1.647
2026-04-01 19:03:57,4.14,-94.0,-12.5,10.0,-2.339,-1.641
2026-04-01 19:24:01,4.14,-95.0,-11.5,10.0,-2.417,-1.699
2026-04-01 19:44:01,4.13,-93.0,-0.5,10.0,-2.496,-1.759
2026-04-01 20:04:05,4.13,-95.0,5.2,10.0,-2.595,-1.763
2026-04-01 20:24:05,4.12,-93.0,4.8,10.0,-2.458,-1.776
2026-04-01 20:43:57,4.12,-95.0,-11.5,10.0,-2.546,-1.804
2026-04-01 21:04:01,,-96.0,-9.2,10.0,,
2026-04-01 21:24:04,,-101.0,-10.5,10.0,,
2026-04-01 21:44:04,4.11,-99.0,-1.8,10.0,-2.678,-1.754
