Timestamp,battery_voltage (V),signal.rssi (dBm),signal.snr (dB),signal.spreadingfactor (Factor),uncorrected_inner (cm/hr),uncorrected_outer (cm/hr)
2026-04-01 02:04:02,,-91.0,2.0,10.0,,
2026-04-01 02:24:01,4.04,-84.0,10.8,10.0,1.128,0.374
2026-04-01 02:44:03,4.03,-89.0,6.0,10.0,0.871,0.255
2026-04-01 03:04:01,4.03,-85.0,5.2,10.0,0.978,0.412
2026-04-01 03:24:06,4.02,-84.0,10.8,10.0,0.957,0.308
2026-04-01 03:44:09,4.02,-92.0,0.2,10.0,1.028,0.311
2026-04-01 04:04:02,4.02,-84.0,9.5,10.0,0.902,0.256
2026-04-01 04:24:01,4.01,-85.0,12.2,10.0,0.982,0.308
2026-04-01 04:44:05,4.01,-93.0,-1.8,10.0,0.939,0.273
2026-04-01 05:04:00,4.0,-92.0,6.0,10.0,1.052,0.244
2026-04-01 05:44:03,3.99,-84.0,9.2,10.0,0.901,0.251
2026-04-01 06:04:05,3.99,-96.0,0.8,10.0,1.035,0.251
2026-04-01 06:24:06,3.99,-93.0,-0.8,10.0,1.05,0.333
2026-04-01 06:44:01,3.98,-86.0,7.8,10.0,0.953,0.208
2026-04-01 07:04:06,3.98,-86.0,9.8,10.0,0.94,0.251
2026-04-01 07:24:01,3.98,-94.0,-1.2,10.0,0.951,0.306
2026-04-01 07:44:00,3.98,-90.0,2.8,10.0,0.896,0.321
2026-04-01 08:24:05,4.0,-91.0,,10.0,0.958,0.317
2026-04-01 08:44:09,4.03,-92.0,-1.0,10.0,0.996,0.187
2026-04-01 09:04:05,4.03,-92.0,-0.5,10.0,0.965,0.278
2026-04-01 09:24:01,4.03,-92.0,,10.0,0.961,0.208
2026-04-01 09:44:06,4.06,-95.0,-2.2,10.0,0.986,0.28
2026-04-01 10:04:03,4.09,-95.0,-7.0,10.0,0.997,0.265
2026-04-01 10:24:07,4.11,-88.0,7.0,10.0,0.979,0.25
2026-04-01 10:44:02,4.12,-92.0,-0.8,10.0,0.944,0.318
