Timestamp,battery_voltage (V),signal.rssi (dBm),signal.snr (dB),signal.spreadingfactor (Factor),uncorrected_inner (cm/hr),uncorrected_outer (cm/hr)
2026-04-01 02:03:42,4.06,-48.0,12.0,10.0,2.958,1.526
2026-04-01 02:33:41,4.06,-47.0,13.0,10.0,3.0,1.551
2026-04-01 03:03:44,4.06,-48.0,9.8,10.0,3.009,1.518
2026-04-01 03:33:48,4.06,-47.0,13.2,10.0,2.894,1.574
2026-04-01 04:03:49,4.05,-48.0,13.0,10.0,2.991,1.606
2026-04-01 04:33:51,4.05,-47.0,12.8,10.0,2.907,1.516
2026-04-01 05:03:43,4.05,-48.0,9.2,10.0,2.867,1.548
2026-04-01 05:33:41,4.05,-47.0,13.2,10.0,3.008,1.499
2026-04-01 06:03:46,4.04,-48.0,12.2,10.0,3.059,1.548
2026-04-01 06:33:48,4.04,-47.0,12.5,10.0,3.049,1.573
2026-04-01 07:03:43,4.04,-48.0,12.5,10.0,2.873,1.524
2026-04-01 07:33:49,4.04,-49.0,12.5,10.0,2.869,1.666
2026-04-01 08:03:47,4.04,-47.0,12.5,10.0,2.956,1.536
2026-04-01 08:33:48,4.06,-47.0,13.0,10.0,3.013,1.517
2026-04-01 09:03:50,4.09,-48.0,9.0,10.0,2.852,1.473
2026-04-01 09:33:46,4.09,-48.0,12.8,10.0,2.88,1.528
2026-04-01 10:03:46,4.1,-47.0,12.8,10.0,2.959,1.509
2026-04-01 10:33:47,4.13,-47.0,12.8,10.0,3.061,1.483
2026-04-01 11:03:47,4.15,-49.0,12.5,10.0,2.709,1.488
2026-04-01 11:33:44,4.17,-48.0,12.8,10.0,2.92,1.591
2026-04-01 12:03:50,4.17,-48.0,9.0,10.0,3.016,1.478
2026-04-01 12:33:47,4.17,-47.0,13.0,10.0,2.824,1.513
2026-04-01 13:03:41,4.17,-47.0,12.8,10.0,2.965,1.482
2026-04-01 13:33:50,4.17,-47.0,13.2,10.0,2.939,1.411
2026-04-01 14:03:44,4.17,-48.0,12.8,10.0,2.901,1.602
2026-04-01 14:33:46,4.17,-47.0,13.2,10.0,3.112,1.467
2026-04-01 15:03:47,4.17,-48.0,12.5,10.0,2.792,1.505
2026-04-01 15:33:47,4.17,-49.0,12.2,10.0,3.054,1.6
2026-04-01 16:03:41,4.17,-47.0,13.2,10.0,2.951,1.521
2026-04-01 16:33:49,4.17,-47.0,12.8,10.0,2.942,1.533
2026-04-01 17:03:42,4.17,-47.0,13.0,10.0,2.831,1.556
2026-04-01 17:33:46,4.16,-48.0,9.0,10.0,2.939,1.544
2026-04-01 18:03:45,4.15,-47.0,13.5,10.0,3.084,1.46
2026-04-01 18:33:40,4.14,-47.0,13.2,10.0,2.937,1.542
2026-04-01 19:03:42,4.14,-48.0,12.8,10.0,2.918,1.522
2026-04-01 19:33:44,4.13,-47.0,12.2,10.0,3.077,1.548
2026-04-01 20:03:41,4.12,-47.0,13.2,10.0,2.905,1.508
2026-04-01 20:33:42,,-47.0,12.2,10.0,,
2026-04-01 21:03:45,4.11,-48.0,12.8,10.0,2.913,1.496
2026-04-01 21:33:45,4.11,-47.0,13.2,10.0,2.989,1.504
2026-04-01 22:03:45,4.1,-47.0,12.8,10.0,2.937,1.514
2026-04-01 22:33:50,4.1,-48.0,9.0,10.0,2.954,1.532
2026-04-01 23:03:47,4.1,-48.0,12.8,10.0,2.99,1.47
2026-04-01 23:33:48,4.09,-47.0,12.5,10.0,2.826,1.523
2026-04-02 00:03:40,4.09,-47.0,13.5,10.0,2.886,1.448
2026-04-02 00:33:43,4.09,-47.0,12.0,10.0,2.902,1.471
2026-04-02 01:03:45,4.09,-47.0,9.0,10.0,2.951,1.489
2026-04-02 01:33:47,4.08,-47.0,12.5,10.0,3.008,1.497
2026-04-02 02:03:46,4.08,-48.0,12.8,10.0,2.889,1.475
2026-04-02 02:33:49,4.08,-48.0,12.8,10.0,2.896,1.432
2026-04-02 03:03:50,4.08,-48.0,13.0,10.0,2.989,1.437
2026-04-02 03:33:45,4.08,-49.0,14.0,10.0,3.039,1.475
2026-04-02 04:03:49,4.07,-47.0,12.8,10.0,2.814,1.455
2026-04-02 05:03:44,4.07,-48.0,12.8,10.0,3.059,1.403
2026-04-02 05:33:43,4.07,-48.0,13.0,10.0,2.977,1.435
2026-04-02 06:03:43,4.07,-48.0,13.0,10.0,2.914,1.451
2026-04-02 06:33:50,4.07,-48.0,8.5,10.0,2.83,1.459
2026-04-02 07:03:44,4.07,-49.0,13.5,10.0,2.938,1.395
2026-04-02 07:33:42,4.07,-47.0,13.2,10.0,2.952,1.436
2026-04-02 08:03:40,4.07,-48.0,12.8,10.0,2.912,1.404
2026-04-02 08:33:48,4.07,-49.0,8.2,10.0,2.857,1.428
2026-04-02 09:03:44,4.07,-49.0,13.5,10.0,3.064,1.436
2026-04-02 09:33:47,4.07,-48.0,12.2,10.0,2.815,1.412
2026-04-02 10:33:42,4.09,-48.0,12.2,10.0,2.663,1.384
2026-04-02 11:03:48,4.12,-48.0,12.2,10.0,2.853,1.345
2026-04-02 11:33:44,4.15,-48.0,12.2,10.0,2.671,1.365
2026-04-02 12:03:50,4.17,-49.0,8.0,10.0,2.61,1.389
2026-04-02 12:33:48,4.14,-49.0,12.2,10.0,2.551,1.322
2026-04-02 13:03:45,4.17,-47.0,13.0,10.0,2.735,1.286
